"","Model","Metric","Estimate","lwr","upr","pval","Time","Simulation"
"3881","Bliss","CI",0.974886738814276,0.689540391834222,1.37831541816977,0.885539103094289,3,195
"3882","Bliss","CI",0.829848694025555,0.508508726252458,1.35425179436159,0.455427089017343,6,195
"3883","Bliss","CI",0.850996395937168,0.544941968503479,1.32893942429656,0.478027286616033,9,195
"3884","Bliss","CI",0.952669375028659,0.619458100043077,1.46511755686847,0.825255171152265,12,195
"3885","Bliss","CI",0.97921137715211,0.64769863715939,1.48040286968856,0.920647375248272,15,195
"3886","Bliss","CI",0.95231398161149,0.603315808258371,1.5031960163463,0.833822503436338,18,195
"3887","Bliss","CI",0.989719049926472,0.626058693187458,1.56461975282253,0.964724084856209,21,195
"3888","Bliss","CI",0.950524995689194,0.590478634788218,1.53011085278977,0.834531456881899,24,195
"3889","Bliss","CI",0.896005302593068,0.573589599857102,1.39965142756232,0.629433188538127,27,195
"3890","Bliss","CI",0.860015738011736,0.556002163541087,1.33025933733298,0.498000612086061,30,195
"3891","Bliss","SS",0.143951075684878,-1.81601290885518,2.10391506022493,0.885539103094289,3,195
"3892","Bliss","SS",0.746397897411174,-1.21356608712888,2.70636188195123,0.455427089017343,6,195
"3893","Bliss","SS",0.709478987312431,-1.25048499722762,2.66944297185248,0.478027286616033,9,195
"3894","Bliss","SS",0.220791000600139,-1.73917298393991,2.18075498514019,0.825255171152265,12,195
"3895","Bliss","SS",0.0996182868358609,-1.86034569770419,2.05958227137591,0.920647375248272,15,195
"3896","Bliss","SS",0.209801626649821,-1.75016235789023,2.16976561118988,0.833822503436338,18,195
"3897","Bliss","SS",0.0442262163659832,-1.91573776817407,2.00419020090604,0.964724084856209,21,195
"3898","Bliss","SS",0.20889339956714,-1.75107058497291,2.16885738410719,0.834531456881899,24,195
"3899","Bliss","SS",0.482524795449939,-1.47743918909011,2.44248877998999,0.629433188538127,27,195
"3900","Bliss","SS",0.67763899974889,-1.28232498479116,2.63760298428894,0.498000612086061,30,195
"3901","Bliss","CI",0.900892433099992,0.687438225440777,1.18062561257258,0.449366795877511,3,196
"3902","Bliss","CI",1.04333638339756,0.758412621065245,1.43530154784628,0.794328231941233,6,196
"3903","Bliss","CI",1.28151249701722,0.937502028709667,1.75175544128866,0.119874735911871,9,196
"3904","Bliss","CI",1.30604583160025,0.875881585961648,1.94747297075277,0.190249917585468,12,196
"3905","Bliss","CI",1.17487602884196,0.767970072506153,1.79737952371367,0.45751903571146,15,196
"3906","Bliss","CI",1.06547743618463,0.734819526131992,1.54492651140391,0.737957228120345,18,196
"3907","Bliss","CI",0.998739334652301,0.70044415428375,1.42406821797479,0.994439674408824,21,196
"3908","Bliss","CI",1.07388407385407,0.760680715706319,1.5160460627776,0.68535667354421,24,196
"3909","Bliss","CI",1.10200089840288,0.778376477370401,1.56017815978124,0.584004131945333,27,196
"3910","Bliss","CI",1.04649292344691,0.744602459570469,1.47078138777061,0.793552357603183,30,196
"3911","Bliss","SS",0.756471095744714,-1.20349288879534,2.71643508028477,0.449366795877511,3,196
"3912","Bliss","SS",-0.260694339039078,-2.22065832357913,1.69926964550098,0.794328231941233,6,196
"3913","Bliss","SS",-1.555299586042,-3.51526357058205,0.404664398498055,0.119874735911871,9,196
"3914","Bliss","SS",-1.30984014966459,-3.26980413420465,0.65012383487546,0.190249917585468,12,196
"3915","Bliss","SS",-0.742938301031977,-2.70290228557203,1.21702568350808,0.45751903571146,15,196
"3916","Bliss","SS",-0.334559728124876,-2.29452371266493,1.62540425641518,0.737957228120345,18,196
"3917","Bliss","SS",0.00696889107896688,-1.95299509346109,1.96693287561902,0.994439674408824,21,196
"3918","Bliss","SS",-0.405164396796589,-2.36512838133664,1.55479958774346,0.68535667354421,24,196
"3919","Bliss","SS",-0.547545337195959,-2.50750932173601,1.41241864734409,0.584004131945333,27,196
"3920","Bliss","SS",-0.261700496649775,-2.22166448118983,1.69826348789028,0.793552357603183,30,196
"3921","Bliss","CI",0.966603680186705,0.736484383705631,1.26862523526897,0.80657631739699,3,197
"3922","Bliss","CI",1.09085348473471,0.739012121078433,1.61020542318218,0.661606965143392,6,197
"3923","Bliss","CI",0.96541716029745,0.63769365017899,1.46156433129793,0.867890691925732,9,197
"3924","Bliss","CI",1.04251752495835,0.65105066700797,1.6693674469916,0.862383569981366,12,197
"3925","Bliss","CI",0.985235211277185,0.63037241162092,1.53986501256361,0.947947232688175,15,197
"3926","Bliss","CI",0.897383369976943,0.573527641070817,1.40411177255141,0.635483121718942,18,197
"3927","Bliss","CI",0.906590945933896,0.599179014191798,1.37172217948578,0.642569882407126,21,197
"3928","Bliss","CI",0.902256423679843,0.603220399853512,1.34953435637991,0.616573230981585,24,197
"3929","Bliss","CI",0.879062043010747,0.58383465712372,1.32357691691207,0.537010181487159,27,197
"3930","Bliss","CI",0.907243036837653,0.60496046890482,1.36056812006324,0.637779853761641,30,197
"3931","Bliss","SS",0.244845170192355,-1.7151188143477,2.20480915473241,0.80657631739699,3,197
"3932","Bliss","SS",-0.437695592227487,-2.39765957676754,1.52226839231257,0.661606965143392,6,197
"3933","Bliss","SS",0.166338344343105,-1.79362564019695,2.12630232888316,0.867890691925732,9,197
"3934","Bliss","SS",-0.173340781326162,-2.13330476586622,1.78662320321389,0.862383569981366,12,197
"3935","Bliss","SS",0.0652848146695203,-1.89467916987053,2.02524879920957,0.947947232688175,15,197
"3936","Bliss","SS",0.474023538814045,-1.48594044572601,2.4339875233541,0.635483121718942,18,197
"3937","Bliss","SS",0.464108681145089,-1.49585530339496,2.42407266568514,0.642569882407126,21,197
"3938","Bliss","SS",0.500712844910767,-1.45925113962929,2.46067682945082,0.616573230981585,24,197
"3939","Bliss","SS",0.617340465441556,-1.3426235190985,2.57730444998161,0.537010181487159,27,197
"3940","Bliss","SS",0.470805195859522,-1.48915878868053,2.43076918039958,0.637779853761641,30,197
"3941","Bliss","CI",1.21249238626318,0.821670633038648,1.78920570802125,0.331763249264797,3,198
"3942","Bliss","CI",1.12812190796459,0.70780736284565,1.79803023539217,0.612229774846938,6,198
"3943","Bliss","CI",1.07399209937683,0.684515265946245,1.68507422245633,0.756096649151762,9,198
"3944","Bliss","CI",1.05151412116702,0.660490308233999,1.67403205350581,0.832324485893043,12,198
"3945","Bliss","CI",0.957242499375158,0.593153576312296,1.54481611374043,0.857974576625685,15,198
"3946","Bliss","CI",1.00069966018303,0.620393391978082,1.61413680873926,0.997712277953841,18,198
"3947","Bliss","CI",0.981451287810377,0.57985796900779,1.66117684299982,0.944407281480633,21,198
"3948","Bliss","CI",0.997220695762209,0.590166009910108,1.68503285407429,0.991703046720698,24,198
"3949","Bliss","CI",1.08005701889845,0.650624394100341,1.79292872300741,0.765843161909849,27,198
"3950","Bliss","CI",1.15405283439512,0.691096310301088,1.92713797588525,0.583915241406857,30,198
"3951","Bliss","SS",-0.970568397937141,-2.9305323824772,0.989395586602912,0.331763249264797,3,198
"3952","Bliss","SS",-0.506893174812291,-2.46685715935235,1.45307080972776,0.612229774846938,6,198
"3953","Bliss","SS",-0.310610624663231,-2.27057460920328,1.64935335987682,0.756096649151762,9,198
"3954","Bliss","SS",-0.211721279361946,-2.171685263902,1.74824270517811,0.832324485893043,12,198
"3955","Bliss","SS",0.178953037959524,-1.78101094658053,2.13891702249958,0.857974576625685,15,198
"3956","Bliss","SS",-0.00286723831131504,-1.96283122285137,1.95709674622874,0.997712277953841,18,198
"3957","Bliss","SS",0.0697316104881165,-1.89023237405194,2.02969559502817,0.944407281480633,21,198
"3958","Bliss","SS",0.0103988762551231,-1.94956510828493,1.97036286079518,0.991703046720698,24,198
