Model,Metric,Estimate,lwr,upr,pval,Time,Simulation
Bliss,SS,0.0592071446076933,-1.86162167587489,1.98197755545414,0.947,3,879
Bliss,SS,0.496281656390038,-1.45193217113792,2.40744993254037,0.6222,6,879
Bliss,SS,0.893370071991422,-1.05888581220545,2.82360306822511,0.3856,9,879
Bliss,SS,1.24519485732661,-0.709437292305328,3.21622370432469,0.211,12,879
Bliss,SS,1.55365509906791,-0.39993630027896,3.54138806974589,0.116,15,879
Bliss,SS,1.8082631349637,-0.142134925728302,3.80308490627684,0.0698,18,879
Bliss,SS,2.01252175225106,0.0727971829029379,4.0188821264014,0.0404,21,879
Bliss,SS,2.16217480774845,0.247943365591334,4.19930110692435,0.0246,24,879
Bliss,SS,2.27556494176691,0.389331454143818,4.34236732146039,0.017,27,879
Bliss,SS,2.35343595673271,0.48748976287182,4.43369503980802,0.0124,30,879
Bliss,CI,1.50104958518636,1.28489141449107,1.74587413376208,0,3,880
Bliss,CI,3.41493691109852,1.99788881736762,5.72396872439373,0,6,880
Bliss,CI,8.02004769648037,2.80006993054317,22.596445721295,0,9,880
Bliss,CI,16.0861410726213,3.00358195194666,85.0333647342602,0.0014,12,880
Bliss,CI,25.4345360573996,2.31307258526571,272.533958702446,0.0074,15,880
Bliss,CI,30.9208764234049,1.30141011826839,707.694224881812,0.0292,18,880
Bliss,CI,29.0401093717172,0.543732969693676,1525.34523883623,0.0962,21,880
Bliss,CI,21.3727530257301,0.1695675116785,2640.92155211793,0.2148,24,880
Bliss,CI,12.8930896898242,0.0419464186797459,3923.26164198659,0.3742,27,880
Bliss,CI,6.29766693775328,0.00830317064872091,4975.45547035299,0.5742,30,880
Bliss,SS,-5.1586503731014,-7.07763720882357,-3.18378473069805,0,3,880
Bliss,SS,-4.54937768247294,-6.46262252350418,-2.56366108778595,0,6,880
Bliss,SS,-3.89929649951862,-5.83934793304083,-1.92843229353838,0,9,880
Bliss,SS,-3.26632973318807,-5.22414134794381,-1.29315380076251,0.0014,12,880
Bliss,SS,-2.67929549395329,-4.64287801092874,-0.694289232763797,0.0074,15,880
Bliss,SS,-2.14742013668357,-4.10656493464339,-0.164868273202019,0.0292,18,880
Bliss,SS,-1.67188136670052,-3.63788188663909,0.302395341460444,0.0962,21,880
Bliss,SS,-1.24767065538295,-3.21027960792619,0.723028198576056,0.2148,24,880
Bliss,SS,-0.87776554986504,-2.84086987592323,1.08879494834236,0.3742,27,880
Bliss,SS,-0.543152257935434,-2.51250509685475,1.41415931795035,0.5742,30,880
Bliss,CI,1.23269255724906,1.03822430164443,1.4592061815809,0.0186,3,881
Bliss,CI,1.79967379714496,0.998546741450878,3.2151412637726,0.0514,6,881
Bliss,CI,2.45558615163059,0.766925871363389,7.79109924948073,0.1392,9,881
Bliss,CI,2.79002259815138,0.433391444265444,17.6375024252597,0.2858,12,881
Bliss,CI,2.55208231105852,0.180592135757892,34.8327077565484,0.4934,15,881
Bliss,CI,1.84987942183578,0.0540815263624188,58.7839792543995,0.7312,18,881
Bliss,CI,1.1084148090061,0.0123895195170342,86.859038637815,0.965,21,881
Bliss,CI,0.550053081298662,0.00219330460522878,111.612306567838,0.8304,24,881
Bliss,CI,0.234856109301927,3.27E-04,130.917245021804,0.6628,27,881
Bliss,CI,0.0908175365199986,3.93E-05,139.10342924473,0.5324,30,881
Bliss,SS,-2.39799881158189,-4.33165524546282,-0.429985712579759,0.0186,3,881
Bliss,SS,-1.94960500194077,-3.87485827219138,0.00482526676862745,0.0514,6,881
Bliss,SS,-1.50202743185304,-3.43249515323313,0.443678795027544,0.1392,9,881
Bliss,SS,-1.07553055416211,-3.00843361418202,0.876435280735854,0.2858,12,881
Bliss,SS,-0.690985735404539,-2.61859214424721,1.26226903147613,0.4934,15,881
Bliss,SS,-0.342556709357773,-2.26871227837725,1.62460527994249,0.7312,18,881
Bliss,SS,-0.0453872008357353,-1.96852215664579,1.93616504536576,0.965,21,881
Bliss,SS,0.215901515463534,-1.70305050125838,2.2113679171009,0.8304,24,881
Bliss,SS,0.439650493659874,-1.47924509564518,2.43578399636277,0.6628,27,881
Bliss,SS,0.623674841654944,-1.28307451506529,2.63749053762289,0.5324,30,881
Bliss,CI,1.2321300965111,1.07948429661249,1.40693454305041,0.0014,3,882
Bliss,CI,1.70056888740458,1.11261949112522,2.61320963984578,0.0142,6,882
Bliss,CI,2.03350509756925,0.915524959043654,4.50501621786517,0.0854,9,882
Bliss,CI,1.89501081622201,0.558904975598245,6.3095780296945,0.2864,12,882
Bliss,CI,1.35894217488576,0.257153475150853,6.94686736757293,0.718,15,882
Bliss,CI,0.77326355527794,0.092733108664573,6.22367091035351,0.8106,18,882
Bliss,CI,0.366690719662728,0.0271448608417405,4.67352798286892,0.427,21,882
Bliss,CI,0.149140085241745,0.006615722274654,2.99877187745444,0.2236,24,882
Bliss,CI,0.0554248271102717,0.00146812393522919,1.84206769809255,0.1124,27,882
Bliss,CI,0.0197281392320763,2.86E-04,1.09681253334831,0.0574,30,882
Bliss,SS,-3.101144486099,-5.07209555002565,-1.13625124073636,0.0014,3,882
Bliss,SS,-2.44590321142661,-4.42494959126088,-0.491597096920211,0.0142,6,882
Bliss,SS,-1.7511997951685,-3.71377294368577,0.217758964252913,0.0854,9,882
Bliss,SS,-1.04192772306618,-3.00254827783427,0.948287037365989,0.2864,12,882
Bliss,SS,-0.367467532331778,-2.32228120878874,1.62712879015873,0.718,15,882
Bliss,SS,0.241066961149249,-1.71410577470475,2.22942677268738,0.8106,18,882
Bliss,SS,0.766042470353555,-1.17736102374903,2.75387113258278,0.427,21,882
Bliss,SS,1.2160268792483,-0.701805501667914,3.20694412660069,0.2236,24,882
Bliss,SS,1.57714300900726,-0.333062404044014,3.55682238193185,0.1124,27,882
Bliss,SS,1.85167301066847,-0.0435869378419766,3.84932601758001,0.0574,30,882
Bliss,CI,1.27474962099364,1.07524253687066,1.51296006670839,0.006,3,883
Bliss,CI,1.90750197209438,1.06551656742409,3.43179987890438,0.0322,6,883
Bliss,CI,2.48944469577314,0.778569195530088,7.94138669330354,0.1282,9,883
Bliss,CI,2.49656406648977,0.388836366557254,15.7957288045321,0.3392,12,883
Bliss,CI,1.86929910991512,0.130902025295967,27.2980705309923,0.6386,15,883
Bliss,CI,1.05821542492421,0.0300397728375987,37.9737031546259,0.9764,18,883
Bliss,CI,0.461953479685315,0.00487484017698084,43.8952126365786,0.749,21,883
Bliss,CI,0.161965321309563,6.02E-04,44.9457012235609,0.5284,24,883
Bliss,CI,0.0486377655129759,5.93E-05,43.3334059462635,0.373,27,883
Bliss,CI,0.0124428147019591,4.72E-06,38.7309642925518,0.2718,30,883
Bliss,SS,-2.76916722906901,-4.72347958479582,-0.827571090411847,0.006,3,883
Bliss,SS,-2.14895715917631,-4.10323466394606,-0.211169680178779,0.0322,6,883
Bliss,SS,-1.53137505515931,-3.47909670816639,0.420256757331041,0.1282,9,883
Bliss,SS,-0.960214913570198,-2.89638092009023,0.991365950013174,0.3392,12,883
Bliss,SS,-0.459317600171096,-2.42801709923323,1.4929473035359,0.6386,15,883
Bliss,SS,-0.03114365278631,-2.00173831960143,1.92927284110897,0.9764,18,883
Bliss,SS,0.333807140881529,-1.63460830184915,2.30104707889105,0.749,21,883
Bliss,SS,0.638898003322169,-1.33560359675728,2.60252153868022,0.5284,24,883
Bliss,SS,0.883573563960975,-1.10146541155839,2.8442457304433,0.373,27,883
Bliss,SS,1.08862645916775,-0.907468686866969,3.04329337310163,0.2718,30,883
Bliss,CI,1.22891990071971,1.07484282228839,1.40547255573719,0.0022,3,884
Bliss,CI,1.75799763528219,1.13009187319816,2.7264777673095,0.0134,6,884
Bliss,CI,2.30861317062792,0.992683157106928,5.27933672387627,0.052,9,884
Bliss,CI,2.49236056473198,0.677132621092692,8.91675755389374,0.1722,12,884
Bliss,CI,2.16428468858962,0.352569983159668,12.378216101276,0.387,15,884
Bliss,CI,1.54414931568786,0.1484995867734,14.5603277328988,0.702,18,884
Bliss,CI,0.935601603018643,0.0523230880165904,14.0787857529649,0.9702,21,884
Bliss,CI,0.50878008000684,0.0158566380005868,12.3070869201354,0.6934,24,884
Bliss,CI,0.259242875319491,0.00433781357257906,10.4386236006291,0.4884,27,884
Bliss,CI,0.129924747406832,0.00110834224588472,8.58940325160049,0.355,30,884
Bliss,SS,-2.98991328441521,-4.93697952147586,-1.04686069163152,0.0022,3,884
Bliss,SS,-2.48358173671842,-4.41539732115116,-0.53837754714768,0.0134,6,884
Bliss,SS,-1.94014053138002,-3.85826619316503,0.0170298191180378,0.052,9,884
Bliss,SS,-1.3819190177293,-3.31082469603879,0.589986820294237,0.1722,12,884
Bliss,SS,-0.85151232938739,-2.77474454944208,1.14974554154047,0.387,15,884
Bliss,SS,-0.373053817277587,-2.29968305518258,1.63756593142287,0.702,18,884
Bliss,SS,0.046465129008216,-1.84607360920073,2.05942717818933,0.9702,21,884
Bliss,SS,0.395228610276097,-1.46815895500187,2.42385355818384,0.6934,24,884
Bliss,SS,0.676333817631171,-1.17508254057821,2.72558795301075,0.4884,27,884
Bliss,SS,0.89032403443876,-0.938194824339225,2.96871684627646,0.355,30,884
Bliss,CI,0.955955402536041,0.848682680964005,1.07758526216007,0.4628,3,885
Bliss,CI,0.755274800173863,0.508481869816758,1.12416042837432,0.1692,6,885
Bliss,CI,0.460080083349453,0.215895295030975,0.984070025104391,0.045,9,885
Bliss,CI,0.218449999104345,0.0673062097945944,0.719827125779461,0.012,12,885
Bliss,CI,0.08420807210553,0.0160514534769785,0.458722274399635,0.0034,15,885
Bliss,CI,0.0280132525688973,0.00308541482418085,0.254409002970136,0.001,18,885
Bliss,CI,0.00841588043989424,5.06E-04,0.139652901916062,4.00E-04,21,885
Bliss,CI,0.00245728973408356,7.53E-05,0.0783702542313792,4.00E-04,24,885
Bliss,CI,7.29E-04,1.07E-05,0.0486871598661718,4.00E-04,27,885
Bliss,CI,2.29E-04,1.52E-06,0.0338584256940861,6.00E-04,30,885
Bliss,SS,0.742103088728776,-1.23106079709172,2.70306249635389,0.4628,3,885
Bliss,SS,1.3942872869248,-0.581395788282399,3.35974715173803,0.1692,6,885
Bliss,SS,2.0069754190238,0.0415125410078725,3.96290054119561,0.045,9,885
Bliss,SS,2.51890725556417,0.544357861992907,4.46837182223306,0.012,12,885
Bliss,SS,2.91358761738095,0.917608203721117,4.86522054984906,0.0034,15,885
Bliss,SS,3.18142482324741,1.21809183336611,5.14451410981136,0.001,18,885
Bliss,SS,3.34254345102764,1.37727459888667,5.31005317122236,4.00E-04,21,885
Bliss,SS,3.39769303445795,1.43984361815894,5.36860803378087,4.00E-04,24,885
Bliss,SS,3.36992495783936,1.40996746276845,5.34114082062386,4.00E-04,27,885
Bliss,SS,3.27760197334247,1.3239044342558,5.23957067114714,6.00E-04,30,885
Bliss,CI,1.30677300054363,1.15632693896521,1.47057817125098,2.00E-04,3,886
Bliss,CI,2.24163467925281,1.50090245391189,3.30122890997379,2.00E-04,6,886
Bliss,CI,3.91756597938084,1.83475616708621,8.06642812684454,4.00E-04,9,886
Bliss,CI,6.10813707884724,1.94507690993721,18.515858203295,0.0022,12,886
Bliss,CI,8.11687565459019,1.72764642793107,37.4021349322621,0.0086,15,886
Bliss,CI,9.15860020587994,1.28047030281817,63.5189709682032,0.0246,18,886
Bliss,CI,8.78222486137432,0.807946313053403,95.3336451730754,0.078,21,886
Bliss,CI,7.37659980977709,0.426421801936413,129.167141877687,0.1764,24,886
Bliss,CI,5.62026645124518,0.199616502275839,162.232390342479,0.301,27,886
Bliss,CI,4.01867787697398,0.0838787139931338,193.32884679948,0.4758,30,886
Bliss,SS,-4.32443144869159,-6.23313183206702,-2.347569358474,2.00E-04,3,886
Bliss,SS,-3.98896566584377,-5.90184497147182,-2.00665858130891,2.00E-04,6,886
Bliss,SS,-3.5909664004946,-5.49034120300085,-1.59607914949468,4.00E-04,9,886
Bliss,SS,-3.14223751389628,-5.06792130668742,-1.15523329255473,0.0022,12,886
Bliss,SS,-2.68115455082947,-4.63737609423986,-0.700089039682869,0.0086,15,886
Bliss,SS,-2.22967030840513,-4.17941241436472,-0.248899329175966,0.0246,18,886
Bliss,SS,-1.78966604217742,-3.75389210911446,0.175660866819567,0.078,21,886
Bliss,SS,-1.38141455409876,-3.36043700869956,0.589205018137927,0.1764,24,886
Bliss,SS,-1.01831099384472,-3.00178277047013,0.950464949472335,0.301,27,886
Bliss,SS,-0.707754172066645,-2.67866413674522,1.26106803097119,0.4758,30,886
Bliss,CI,1.30510118904355,1.08975859356941,1.56983368733697,0.004,3,887
Bliss,CI,2.0613137508497,1.10771637508329,3.87844078267038,0.02,6,887
Bliss,CI,2.92293645373136,0.851742828959271,10.1591041584219,0.0892,9,887
Bliss,CI,3.29032271484094,0.45963890300062,23.6938895085309,0.2366,12,887
Bliss,CI,2.82954499984099,0.173171870444105,46.7195451452389,0.4728,15,887
Bliss,CI,1.90581912518642,0.046916891624915,78.6417662982781,0.7334,18,887
Bliss,CI,1.03423105065246,0.00912276051415743,113.977595724246,0.986,21,887
Bliss,CI,0.480411697993707,0.00147067473849281,148.41992912355,0.8054,24,887
Bliss,CI,0.196082410953654,1.84E-04,179.468335074018,0.6518,27,887
