Model,Metric,Estimate,lwr,upr,pval,Time,Simulation
Bliss,CI,0.39312402795403,0.0961195027953754,1.61205296505555,0.1892,15,11
Bliss,CI,0.128211447195505,0.0215083840880197,0.757536971453202,0.0244,18,11
Bliss,CI,0.0304159610234619,0.00339277909659903,0.265112834643241,0.0018,21,11
Bliss,CI,0.00545037414156249,4.03E-04,0.0700404992828876,0,24,11
Bliss,CI,7.74E-04,3.75E-05,0.0150804083164537,0,27,11
Bliss,CI,9.02E-05,2.66E-06,0.00274689306066889,0,30,11
Bliss,SS,-2.4000581352634,-4.33205288647604,-0.430516341240939,0.0154,3,11
Bliss,SS,-1.5726784199413,-3.50824581172574,0.373912982945426,0.1152,6,11
Bliss,SS,-0.659228578407509,-2.62079532495306,1.28470290149551,0.5146,9,11
Bliss,SS,0.316759286936732,-1.66086101859399,2.26236766307945,0.7588,12,11
Bliss,SS,1.29609399969469,-0.662891897131489,3.25146263998604,0.1892,15,11
Bliss,SS,2.26006911512083,0.30553061378721,4.22434134461066,0.0244,18,11
Bliss,SS,3.16694092386879,1.20374622577301,5.15564152665663,0.0018,21,11
Bliss,SS,3.9919587665376,2.0363014379908,5.98652039671036,0,24,11
Bliss,SS,4.70907276527953,2.75730110614314,6.70022667033442,0,27,11
Bliss,SS,5.31035234879833,3.36251236564384,7.31938588910977,0,30,11
