"","Cell","Figure","CAGE","MOUSE","Treatment","Day","RLU"
"154","U87MG","Fig5A","514","514_4_Triple","Triple",28,"840000"
"155","U87MG","Fig5A","518","518_4_Triple","Triple",0,"8020000"
"156","U87MG","Fig5A","518","518_4_Triple","Triple",7,"8470000"
"157","U87MG","Fig5A","518","518_4_Triple","Triple",14,"20000000"
"158","U87MG","Fig5A","518","518_4_Triple","Triple",18,"4.8e+07"
"159","U87MG","Fig5A","518","518_4_Triple","Triple",21,"1.6e+08"
"160","U87MG","Fig5A","518","518_4_Triple","Triple",25,"3.1e+08"
"161","U87MG","Fig5A","518","518_4_Triple","Triple",28,"3800000"
"162","U87MG","Fig5A","517","517_4_Triple","Triple",0,"20300000"
"163","U87MG","Fig5A","517","517_4_Triple","Triple",7,"13500000"
"164","U87MG","Fig5A","517","517_4_Triple","Triple",14,"400000"
"165","U87MG","Fig5A","517","517_4_Triple","Triple",18,"4e+05"
"166","U87MG","Fig5A","517","517_4_Triple","Triple",21,"4e+05"
"167","U87MG","Fig5A","517","517_4_Triple","Triple",25,"4e+05"
"168","U87MG","Fig5A","517","517_4_Triple","Triple",28,"4e+05"
"169","U87MG","Fig5A","518","518_3_Triple","Triple",0,"24700000"
"170","U87MG","Fig5A","518","518_3_Triple","Triple",7,"11500000"
"171","U87MG","Fig5A","518","518_3_Triple","Triple",14,"49000000"
"172","U87MG","Fig5A","518","518_3_Triple","Triple",18,"1.5e+08"
"173","U87MG","Fig5A","518","518_3_Triple","Triple",21,"1.5e+08"
"174","U87MG","Fig5A","518","518_3_Triple","Triple",25,"1.5e+08"
"175","U87MG","Fig5A","518","518_3_Triple","Triple",28,"1.5e+08"
"176","U87MG","Fig5A","519","519_4_Triple","Triple",0,"39800000"
"177","U87MG","Fig5A","519","519_4_Triple","Triple",7,"15200000"
"178","U87MG","Fig5A","519","519_4_Triple","Triple",14,"110000"
"179","U87MG","Fig5A","519","519_4_Triple","Triple",18,"1.9e+07"
"180","U87MG","Fig5A","519","519_4_Triple","Triple",21,"8.6e+07"
"181","U87MG","Fig5A","519","519_4_Triple","Triple",25,"2.1e+07"
"182","U87MG","Fig5A","519","519_4_Triple","Triple",28,"1.1e+07"
"183","U87MG","Fig5A","519","519_2_Triple","Triple",0,"52900000"
"184","U87MG","Fig5A","519","519_2_Triple","Triple",7,"42500000"
"185","U87MG","Fig5A","519","519_2_Triple","Triple",14,"530000"
"186","U87MG","Fig5A","519","519_2_Triple","Triple",18,"1400000"
"187","U87MG","Fig5A","519","519_2_Triple","Triple",21,"7e+08"
"188","U87MG","Fig5A","519","519_2_Triple","Triple",25,"2.1e+09"
"189","U87MG","Fig5A","519","519_2_Triple","Triple",28,"2.7e+07"
"190","U87MG","Fig5A","517","517_5_Triple","Triple",0,"661000000"
"191","U87MG","Fig5A","517","517_5_Triple","Triple",7,"1250000"
"192","U87MG","Fig5A","517","517_5_Triple","Triple",14,"12000000"
"193","U87MG","Fig5A","517","517_5_Triple","Triple",18,"2.4e+07"
"194","U87MG","Fig5A","517","517_5_Triple","Triple",21,"5.5e+09"
"195","U87MG","Fig5A","517","517_5_Triple","Triple",25,"4.7e+09"
"196","U87MG","Fig5A","517","517_5_Triple","Triple",28,"9.9e+09"
"197","U87MG","Fig5A","517","517_2_None","None",0,"264000"
"198","U87MG","Fig5A","517","517_2_None","None",7,"19600000"
"199","U87MG","Fig5A","517","517_2_None","None",14,"85000000"
"200","U87MG","Fig5A","517","517_2_None","None",18,"4.1e+08"
"201","U87MG","Fig5A","517","517_2_None","None",21,"1.8e+09"
"202","U87MG","Fig5A","517","517_2_None","None",25,"3.1e+08"
"203","U87MG","Fig5A","517","517_2_None","None",28,"1.2e+08"
"204","U87MG","Fig5A","514","514_1_None","None",0,"313000"
"205","U87MG","Fig5A","514","514_1_None","None",7,"147000000"
"206","U87MG","Fig5A","514","514_1_None","None",14,"230000000"
"207","U87MG","Fig5A","514","514_1_None","None",18,"1.5e+07"
"208","U87MG","Fig5A","514","514_1_None","None",21,"2.3e+09"
"209","U87MG","Fig5A","514","514_1_None","None",25,"4.1e+09"
"210","U87MG","Fig5A","514","514_1_None","None",28,"3.6e+09"
"211","U87MG","Fig5A","514","514_6_None","None",0,"21600000"
"212","U87MG","Fig5A","514","514_6_None","None",7,"42400000"
"213","U87MG","Fig5A","514","514_6_None","None",14,"660000000"
"214","U87MG","Fig5A","514","514_6_None","None",18,"1.2e+09"
"215","U87MG","Fig5A","514","514_6_None","None",21,"2.3e+09"
"216","U87MG","Fig5A","514","514_6_None","None",25,"3.1e+09"
"217","U87MG","Fig5A","514","514_6_None","None",28,"4.8e+09"
"218","U87MG","Fig5A","520","520_5_None","None",0,"22300000"
"219","U87MG","Fig5A","520","520_5_None","None",7,"16000000"
"220","U87MG","Fig5A","520","520_5_None","None",14,"20000000"
"221","U87MG","Fig5A","520","520_5_None","None",18,"4.6e+07"
"222","U87MG","Fig5A","520","520_5_None","None",21,"5300000"
"223","U87MG","Fig5A","520","520_5_None","None",25,"5300000"
"224","U87MG","Fig5A","520","520_5_None","None",28,"5300000"
"225","U87MG","Fig5A","520","520_2_None","None",0,"41200000"
"226","U87MG","Fig5A","520","520_2_None","None",7,"12900000"
"227","U87MG","Fig5A","520","520_2_None","None",14,"20000000"
"228","U87MG","Fig5A","520","520_2_None","None",18,"5.6e+07"
"229","U87MG","Fig5A","520","520_2_None","None",21,"2.3e+08"
"230","U87MG","Fig5A","520","520_2_None","None",25,"9e+08"
"231","U87MG","Fig5A","520","520_2_None","None",28,"3.8e+09"
"232","U87MG","Fig5A","520","520_4_None","None",0,"42700000"
"233","U87MG","Fig5A","520","520_4_None","None",7,"62900000"
"234","U87MG","Fig5A","520","520_4_None","None",14,"760000000"
"235","U87MG","Fig5A","520","520_4_None","None",18,"7.3e+08"
"236","U87MG","Fig5A","520","520_4_None","None",21,"1.7e+09"
"237","U87MG","Fig5A","520","520_4_None","None",25,"2.2e+09"
"238","U87MG","Fig5A","520","520_4_None","None",28,"5e+09"
